Rank,Robert,Phillip,Kenn,Max,Efgen,LaMar,Kyle,Destiny
1,van Dijk - 183,Cancelo - 201,Son - 256,Kane - 192,Ronaldo - 159,Fernandes - 151,Salah - 265,Mané - 183
2,Sterling - 131,De Bruyne - 195,Alexander-Arnold - 202,Lloris - 125,Bernardo - 120,Mahrez - 135,Maddison - 165,Jota - 168
3,Mount - 111,Bowen - 135,Saka - 162,Toney - 109,Sá - 118,Gabriel - 129,Ederson - 155,Robertson - 161
4,Dennis - 110,Mendy - 113,Alisson - 157,Reguilón - 86,Gallagher - 98,Cash - 122,Matip - 149,Laporte - 160
5,Saint-Maximin - 108,James - 89,Raphinha - 105,Kulusevski - 75,Guéhi - 77,Jesus - 120,Antonio - 140,Jiménez - 101
6,Coady - 106,Zaha - 87,Cresswell - 72,Coutinho - 72,Kilman - 67,Vardy - 118,Dias - 137,Moutinho - 94
7,Schmeichel - 97,Jansson - 81,Sarr - 66,Foden - 71,Thiago Silva - 53,Fornals - 106,Rüdiger - 128,Lacazette - 88
8,Andersen - 83,Ward-Prowse - 74,Zaha - 53,Luis Díaz - 61,Dier - 53,Fabianski - 100,Smith Rowe - 125,Semedo - 88
9,Rodrigo - 62,Greenwood - 70,Grealish - 49,Watkins - 56,James - 50,Ødegaard - 77,Barnes - 125,Ayew - 75
10,Cornet - 61,Wilson - 59,Martínez - 42,Trossard - 49,Benrahma - 44,Pulisic - 76,Ings - 106,Foster - 51
11,Watkins - 60,Lukaku - 53,Maupay - 38,Mbeumo - 44,Foden - 41,Castagne - 75,Mings - 101,Tierney - 51
12,Dunk - 50,Tielemans - 51,Aubameyang - 33,Cucurella - 40,Alonso - 39,Pinnock - 65,Havertz - 76,Lucas Moura - 49
13,Keane - 46,Pukki - 51,Alonso - 33,Alonso - 36,Martinelli - 37,Firmino - 62,Richarlison - 64,Walker - 46
14,Rice - 45,Ramsdale - 49,Edouard - 32,Raphinha - 35,Gray - 35,Pope - 59,Wan-Bissaka - 39,Jorginho - 40
15,Mee - 38,Cucurella - 38,Sancho - 28,Benrahma - 34,Azpilicueta - 34,Chilwell - 46,Dele - 20,Llorente - 39
16,Pogba - 35,Edouard - 34,Schär - 25,Livramento - 33,Tielemans - 32,Bednarek - 39,Martial - 12,Ziyech - 19
17,White - 31,Dier - 29,Doherty - 24,Ait Nouri - 32,Tomiyasu - 28,Pépé - 21,de Gea - 2,Rashford - 15
18,Sánchez - 31,Calvert-Lewin - 28,Nketiah - 23,Walker - 30,White - 28,Targett - 2,,Krul - 14
19,Saïss - 28,Eriksen - 26,Gündogan - 22,Havertz - 28,Adams - 22,Zinchenko - 2,,Arrizabalaga - 6
20,Benrahma - 26,Chalobah - 25,Weghorst - 22,Lamptey - 27,King - 21,Thiago Silva - 0,,Leno - 4
21,Canós - 23,Thiago Silva - 22,Shaw - 21,Mount - 25,Iheanacho - 21,Chalobah - 0,,Gomez - 2
22,Richarlison - 16,Sterling - 15,Digne - 21,Zinchenko - 23,Bamford - 21,,,
23,Buendía - 14,Kovacic - 15,Wood - 20,Buendía - 21,Varane - 20,,,
24,Sancho - 12,Mitchell - 13,Saïss - 17,Azpilicueta - 20,Henry - 19,,,
25,Cavani - 10,Coufal - 13,Broja - 17,Ward-Prowse - 20,Sánchez - 18,,,
26,Tanganga - 8,Townsend - 12,Trippier - 17,Roberts - 20,Dawson - 17,,,
27,Torres - 5,Soucek - 11,Werner - 16,Emerson Royal - 19,Sancho - 17,,,
28,Livramento - 2,Broja - 11,Justin - 16,Doucouré - 18,Mount - 15,,,
29,Lingard - 2,Daka - 10,Tierney - 15,Walker-Peters - 16,Digne - 14,,,
30,Sánchez - 2,Rodrigo - 8,Christensen - 14,Mykolenko - 16,Ramsey - 13,,,
31,Wood - 2,Raya - 6,Mateta - 14,Jonny - 15,Maupay - 13,,,
32,Iwobi - 2,Tomiyasu - 6,Rashford - 14,Cresswell - 14,Meslier - 12,,,
33,Aarons - 1,Willock - 4,Pogba - 14,Sancho - 14,Tarkowski - 10,,,
34,Godfrey - 1,Marçal - 4,Iheanacho - 13,Targett - 13,Fred - 8,,,
35,Bailey - 1,Doucouré - 4,Lamptey - 13,Benteke - 13,Joelinton - 8,,,
36,Chalobah - 1,Gordon - 4,Ramsey - 12,Pieters - 13,Wood - 8,,,
37,Duffy - 0,Ayling - 3,Gordon - 12,Wilson - 13,Groß - 8,,,
38,,Trossard - 3,Zinchenko - 12,Kouyaté - 12,Doucouré - 7,,,
39,,Toney - 2,Coufal - 12,Werner - 12,Konsa - 6,,,
40,,Saka - 1,Richarlison - 11,Matip - 12,Lucas Moura - 6,,,
41,,Lowton - 1,Hwang - 11,Digne - 11,Fernández - 6,,,
42,,Adams - 1,Bruno Guimarães - 11,Söyüncü - 11,Hwang - 6,,,
43,,Neves - 1,Welbeck - 11,McCarthy - 11,Guaita - 6,,,
44,,Maupay - 0,Mitchell - 10,Bowen - 11,Benteke - 5,,,
45,,Ziyech - 0,Rodrigo - 9,Tielemans - 10,Duffy - 5,,,
46,,Maguire - -1,Harrison - 9,Gray - 10,Dele - 4,,,
47,,,Tarkowski - 7,Mitchell - 9,Bowen - 4,,,
48,,,Ward-Prowse - 7,Pickford - 8,Soucek - 4,,,
49,,,Willock - 6,Raya - 8,Neves - 3,,,
50,,,Stones - 6,Dalot - 8,Cucho - 2,,,
51,,,Sessegnon - 6,Maguire - 7,Bruno Guimarães - 2,,,
52,,,Tomiyasu - 5,Calvert-Lewin - 6,Richarlison - 2,,,
53,,,Varane - 5,Maupay - 6,Gündogan - 2,,,
54,,,Bailey - 4,Henry - 6,James - 2,,,
55,,,Targett - 3,Shaw - 6,Ogbonna - 2,,,
56,,,Duffy - 2,Saint-Maximin - 6,Sargent - 2,,,
57,,,Mac Allister - 2,Sessegnon - 6,Aubameyang - 1,,,
58,,,Mbeumo - 2,Harrison - 5,Dallas - 1,,,
59,,,Ziyech - 2,Pereira - 5,Henderson - 1,,,
60,,,Adams - 2,Trincão - 5,Cavani - 1,,,
61,,,Dennis - 2,Konsa - 5,McCarthy - 1,,,
62,,,Lookman - 2,Ndombele - 5,Rodrigo - 0,,,
63,,,Bamford - 1,Coufal - 4,Lindelöf - 0,,,
64,,,Tsimikas - 1,Wood - 4,Lowton - 0,,,
65,,,Daka - 1,Romero - 4,Taylor - 0,,,
66,,,Thomas - 0,Thiago Silva - 3,Bergwijn - 0,,,
67,,,,Grealish - 3,,,,
68,,,,McGinn - 3,,,,
69,,,,Brownhill - 3,,,,
70,,,,Guaita - 3,,,,
71,,,,Eze - 2,,,,
72,,,,Rodrigo - 2,,,,
73,,,,Fofana - 2,,,,
74,,,,Lucas Moura - 2,,,,
75,,,,Saïss - 2,,,,
76,,,,Duffy - 1,,,,
77,,,,Canós - 1,,,,
78,,,,Tarkowski - 1,,,,
79,,,,McArthur - 1,,,,
80,,,,Marçal - 1,,,,
81,,,,Chalobah - 0,,,,